"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"25","28.11.23","14","14_F.B","45258_14_F.B_62h_Peat_B.2","45258_14_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","62h","62h",62,"Coculture","Peat.3_F.B_62h_P","Peat.3","Peat","F.B","Fungi.Bacteria","P",0.514222179,"AREA / TIC","IN","Alanine_1Bz",1634715.565,"Amino_Acids",840606.999879516,6.21344219779318,5.92459300212955
"26","28.11.23","15","15_B.F","45258_15_B.F_24h_Peat_B.2","45258_15_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","24h","24h",24,"Coculture","Peat.2_B.F_24h_P","Peat.2","Peat","B.F","Bacteria.Fungi","P",1,"AREA / TIC","IN","Alanine_1Bz",5796040,"Amino_Acids",5796040,6.76313137399019,6.76313137399019
"27","28.11.23","15","15_B.F","45258_15_B.F_62h_Peat_B.2","45258_15_B.F_62h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","62h","62h",62,"Coculture","Peat.2_B.F_62h_P","Peat.2","Peat","B.F","Bacteria.Fungi","P",0.296112429,"AREA / TIC","IN","Alanine_1Bz",1967637.775,"Amino_Acids",582642.000947405,6.2939451516168,5.76540178843139
"28","28.11.23","16","16_B.F","45258_16_B.F_24h_Peat_B.2","45258_16_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","24h","24h",24,"Coculture","Peat.3_B.F_24h_P","Peat.3","Peat","B.F","Bacteria.Fungi","P",1.040897693,"AREA / TIC","IN","Alanine_1Bz",5068897.777,"Amino_Acids",5276204.00213213,6.70491353302011,6.72232157900615
"29","28.11.23","16","16_B.F","45258_16_B.F_62h_Peat_B.2","45258_16_B.F_62h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","62h","62h",62,"Coculture","Peat.3_B.F_62h_P","Peat.3","Peat","B.F","Bacteria.Fungi","P",0.443601298,"AREA / TIC","IN","Alanine_1Bz",2221790.164,"Amino_Acids",985589.000634033,6.34670303978929,5.99369584803606
"30","28.11.23","17","17_X.B","45258_17_X.B_24h_Peat_B.2","45258_17_X.B_24h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","62h","24h",24,"Single","Peat.2_X.B_24h_P","Peat.2","Peat","X.B","Media.Bacteria","P",0.872791417,"AREA / TIC","IN","Alanine_1Bz",7019708.125,"Amino_Acids",6126741.00134516,6.84631905481682,6.78722952158149
"31","28.11.23","17","17_X.B","45258_17_X.B_62h_Peat_B.2","45258_17_X.B_62h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","62h","62h",62,"Single","Peat.2_X.B_62h_P","Peat.2","Peat","X.B","Media.Bacteria","P",0.348598781,"AREA / TIC","IN","Alanine_1Bz",2329359.841,"Amino_Acids",812012.001082954,6.36723658380697,5.90956244791801
"32","28.11.23","18","18_X.B","45258_18_X.B_62h_Peat_B.2","45258_18_X.B_62h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","62h","62h",62,"Single","Peat.3_X.B_62h_P","Peat.3","Peat","X.B","Media.Bacteria","P",0.651950422,"AREA / TIC","IN","Alanine_1Bz",815575.8204,"Amino_Acids",531715.000282776,5.91146434164936,5.72567891242654
"33","28.11.23","19","19_X.F","45258_19_X.F_24h_Peat_B.2","45258_19_X.F_24h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","24h","24h",24,"Single","Peat.2_X.F_24h_P","Peat.2","Peat","X.F","Media.Fungi","P",3.924801807,"AREA / TIC","OUT","Alanine_1Bz",5044377.263,"Amino_Acids",19798180.9970121,6.70280755948553,7.29662529029942
"34","28.11.23","19","19_X.F","45258_19_X.F_62h_Peat_B.2","45258_19_X.F_62h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","62h","62h",62,"Single","Peat.2_X.F_62h_P","Peat.2","Peat","X.F","Media.Fungi","P",0.868303875,"AREA / TIC","IN","Alanine_1Bz",18227747.74,"Amino_Acids",15827223.9951645,7.26073300960297,7.19940474876611
"35","28.11.23","20","20_X.F","45258_20_X.F_24h_Peat_B.2","45258_20_X.F_24h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","24h","24h",24,"Single","Peat.3_X.F_24h_P","Peat.3","Peat","X.F","Media.Fungi","P",3.915529645,"AREA / TIC","OUT","Alanine_1Bz",3539605.943,"Amino_Acids",13859432.0014347,6.54895491561154,7.14174543202922
"36","28.11.23","20","20_X.F","45258_20_X.F_62h_Peat_B.2","45258_20_X.F_62h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","62h","62h",62,"Single","Peat.3_X.F_62h_P","Peat.3","Peat","X.F","Media.Fungi","P",1.012790545,"AREA / TIC","IN","Alanine_1Bz",3858798.859,"Amino_Acids",3908154.99945199,6.58645214143664,6.59197177973246
"37","28.11.23","22","22_X.BF","45258_22_X.BF_24h_Peat_B.2","45258_22_X.BF_24h_Peat_B.2_Coculture_X.BF_Media.BacteriaFungi_P","B.2","24h","24h",24,"Coculture","Peat.3_X.BF_24h_P","Peat.3","Peat","X.BF","Media.BacteriaFungi","P",1.550375833,"AREA / TIC","IN","Alanine_1Bz",7142290.123,"Amino_Acids",11073233.9989738,6.85383748745,7.04427447749947
