"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"33","28.11.23","18","18_X.B","45258_18_X.B_62h_Peat_B.2","45258_18_X.B_62h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","62h","62h",62,"Single","Peat.B3_X.B_62h_P","Peat.B3","Peat","X.B","Media.Bacteria","P",0.442527058,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",113247.3125,"TCA_Glycolysis",50115.0000270316,5.05402790445733,4.69996773492807
"34","28.11.23","19","19_X.F","45258_19_X.F_24h_Peat_B.2","45258_19_X.F_24h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","24h","24h",24,"Single","Peat.B2_X.F_24h_P","Peat.B2","Peat","X.F","Media.Fungi","P",4.061026548,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",164575.6294,"TCA_Glycolysis",668346.000147209,5.21636552467509,5.82500135327181
"35","28.11.23","19","19_X.F","45258_19_X.F_62h_Peat_B.2","45258_19_X.F_62h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","62h","62h",62,"Single","Peat.B2_X.F_62h_P","Peat.B2","Peat","X.F","Media.Fungi","P",1.093553058,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",12484.07647,"TCA_Glycolysis",13652.0000000743,4.09635642023018,4.13519627960897
"36","28.11.23","20","20_X.F","45258_20_X.F_24h_Peat_B.2","45258_20_X.F_24h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","24h","24h",24,"Single","Peat.B3_X.F_24h_P","Peat.B3","Peat","X.F","Media.Fungi","P",2.263374011,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",220889.2554,"TCA_Glycolysis",499954.999981501,5.34417459122689,5.69893091605758
"37","28.11.23","20","20_X.F","45258_20_X.F_62h_Peat_B.2","45258_20_X.F_62h_Peat_B.2_Single_X.F_Media.Fungi_P","B.2","62h","62h",62,"Single","Peat.B3_X.F_62h_P","Peat.B3","Peat","X.F","Media.Fungi","P",0.694744455,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",11158.05955,"TCA_Glycolysis",7752.0000009223,4.04758867488824,3.88941376409438
"38","28.11.23","22","22_X.BF","45258_22_X.BF_24h_Peat_B.2","45258_22_X.BF_24h_Peat_B.2_Coculture_X.BF_Media.BacteriaFungi_P","B.2","24h","24h",24,"Coculture","Peat.B3_X.BF_24h_P","Peat.B3","Peat","X.BF","Media.BacteriaFungi","P",1.862484495,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",142309.3726,"TCA_Glycolysis",265048.999960678,5.15323350398039,5.42332616995698
"39","28.11.23","22","22_X.BF","45258_22_X.BF_62h_Peat_B.2","45258_22_X.BF_62h_Peat_B.2_Coculture_X.BF_Media.BacteriaFungi_P","B.2","62h","62h",62,"Coculture","Peat.B3_X.BF_62h_P","Peat.B3","Peat","X.BF","Media.BacteriaFungi","P",0.521365086,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",106827.2532,"TCA_Glycolysis",55696.0000517618,5.02868206172332,4.74582400634383
"40","28.11.23","23","23_X.X","45258_23_X.X_24h_Peat_B.2","45258_23_X.X_24h_Peat_B.2_Media_X.X_Media.Media_P","B.2","24h","24h",24,"Media","Peat.B2_X.X_24h_P","Peat.B2","Peat","X.X","Media.Media","P",3.855144708,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",160141.3298,"TCA_Glycolysis",617368.000110553,5.20450343053061,5.79054411504635
"41","28.11.23","23","23_X.X","45258_23_X.X_62h_Peat_B.2","45258_23_X.X_62h_Peat_B.2_Media_X.X_Media.Media_P","B.2","62h","62h",62,"Media","Peat.B2_X.X_62h_P","Peat.B2","Peat","X.X","Media.Media","P",2.332483654,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",210739.7405,"TCA_Glycolysis",491546.999964452,5.32374644093525,5.69156504983718
"42","28.11.23","24","24_X.X","45258_24_X.X_24h_Peat_B.2","45258_24_X.X_24h_Peat_B.2_Media_X.X_Media.Media_P","B.2","24h","24h",24,"Media","Peat.B3_X.X_24h_P","Peat.B3","Peat","X.X","Media.Media","P",2.181682204,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",219499.8883,"TCA_Glycolysis",478879.000084098,5.34143430357265,5.68022579267518
"43","28.11.23","24","24_X.X","45258_24_X.X_62h_Peat_B.2","45258_24_X.X_62h_Peat_B.2_Media_X.X_Media.Media_P","B.2","62h","62h",62,"Media","Peat.B3_X.X_62h_P","Peat.B3","Peat","X.X","Media.Media","P",1.873651076,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",227244.0186,"TCA_Glycolysis",425775.999964454,5.35649246076881,5.62918117758901
"44","28.11.23","25","25_F.B","45258_25_F.B_24h_Peat_B.3","45258_25_F.B_24h_Peat_B.3_Coculture_F.B_Fungi.Bacteria_P","B.3","24h","24h",24,"Coculture","Peat.B4_F.B_24h_P","Peat.B4","Peat","F.B","Fungi.Bacteria","P",1.751219551,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",166533.0883,"TCA_Glycolysis",291636.000119369,5.22150053597101,5.46484113311701
"45","28.11.23","25","25_F.B","45258_25_F.B_62h_Peat_B.3","45258_25_F.B_62h_Peat_B.3_Coculture_F.B_Fungi.Bacteria_P","B.3","62h","62h",62,"Coculture","Peat.B4_F.B_62h_P","Peat.B4","Peat","F.B","Fungi.Bacteria","P",0.616863449,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",34686.76905,"TCA_Glycolysis",21396.9999908495,4.5401638487292,4.3303528864916
"46","28.11.23","27","27_B.F","45258_27_B.F_24h_Peat_B.3","45258_27_B.F_24h_Peat_B.3_Coculture_B.F_Bacteria.Fungi_P","B.3","24h","24h",24,"Coculture","Peat.B4_B.F_24h_P","Peat.B4","Peat","B.F","Bacteria.Fungi","P",1.000515627,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",278712.2884,"TCA_Glycolysis",278855.999981131,5.4451561171405,5.44537999338796
