Well	Value	Value2	Measurement_mode	Measurement_wavelength	Row	Row_num	Column	Strain	SM	Time	Time2	Expe	Media	Species	Kingdom	Phylum	Class	Order	Family	Genus
B11	0.0841	0.0841	Absorbance	600	B	2	11	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
F9	0.0847	0.0847	Absorbance	600	F	6	9	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F10	0.0863	0.0863	Absorbance	600	F	6	10	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F11	0.0845	0.0845	Absorbance	600	F	6	11	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F5	0.0873	0.0873	Absorbance	600	F	6	5	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F6	0.0872	0.0872	Absorbance	600	F	6	6	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F7	0.0868	0.0868	Absorbance	600	F	6	7	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
B8	0.0822	0.0822	Absorbance	600	B	2	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
C8	0.0826	0.0826	Absorbance	600	C	3	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D8	0.0825	0.0825	Absorbance	600	D	4	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
E8	0.0827	0.0827	Absorbance	600	E	5	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
F8	0.0819	0.0819	Absorbance	600	F	6	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
G8	0.0825	0.0825	Absorbance	600	G	7	8	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D9	0.0845	0.0845	Absorbance	600	D	4	9	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D10	0.0859	0.0859	Absorbance	600	D	4	10	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D11	0.0891	0.0891	Absorbance	600	D	4	11	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
B2	0.0827	0.0827	Absorbance	600	B	2	2	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B3	0.0834	0.0834	Absorbance	600	B	2	3	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B4	0.0845	0.0845	Absorbance	600	B	2	4	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F2	0.0853	0.0853	Absorbance	600	F	6	2	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F3	0.0875	0.0875	Absorbance	600	F	6	3	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F4	0.0869	0.0869	Absorbance	600	F	6	4	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B5	0.0843	0.0843	Absorbance	600	B	2	5	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B6	0.0842	0.0842	Absorbance	600	B	2	6	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B7	0.0839	0.0839	Absorbance	600	B	2	7	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
E2	0.0869	0.0869	Absorbance	600	E	5	2	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E3	0.0874	0.0874	Absorbance	600	E	5	3	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E4	0.0867	0.0867	Absorbance	600	E	5	4	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
C5	0.337	0.237	Absorbance	600	C	3	5	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C6	0.431	0.331	Absorbance	600	C	3	6	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C7	0.492	0.392	Absorbance	600	C	3	7	R565	Control	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
D5	0.251	0.151	Absorbance	600	D	4	5	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D6	0.323	0.223	Absorbance	600	D	4	6	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D7	0.398	0.298	Absorbance	600	D	4	7	R568	Control	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E5	0.42	0.32	Absorbance	600	E	5	5	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E6	0.335	0.235	Absorbance	600	E	5	6	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E7	0.466	0.366	Absorbance	600	E	5	7	R651	Control	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
D2	0.434	0.234	Absorbance	600	D	4	2	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D3	0.329	0.329	Absorbance	600	D	4	3	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D4	0.43	0.43	Absorbance	600	D	4	4	R147	Control	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
C9	0.777	0.577	Absorbance	600	C	3	9	BFSC	Control	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C10	0.619	0.419	Absorbance	600	C	3	10	BFSC	Control	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C11	0.731	0.531	Absorbance	600	C	3	11	BFSC	Control	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
G5	0.74	0.54	Absorbance	600	G	7	5	BSC	Control	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G6	0.638	0.438	Absorbance	600	G	7	6	BSC	Control	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G7	0.676	0.476	Absorbance	600	G	7	7	BSC	Control	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
C2	0.198	0.198	Absorbance	600	C	3	2	R16	Control	T72	72	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C3	0.186	0.186	Absorbance	600	C	3	3	R16	Control	T72	72	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C4	0.189	0.189	Absorbance	600	C	3	4	R16	Control	T72	72	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
E9	0.233	0.233	Absorbance	600	E	5	9	F147	Control	T72	72	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E10	0.149	0.149	Absorbance	600	E	5	10	F147	Control	T72	72	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E11	0.171	0.171	Absorbance	600	E	5	11	F147	Control	T72	72	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
G9	0.123	0.123	Absorbance	600	G	7	9	F243	Control	T72	72	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G10	0.154	0.154	Absorbance	600	G	7	10	F243	Control	T72	72	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G11	0.145	0.145	Absorbance	600	G	7	11	F243	Control	T72	72	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G2	0.156	0.156	Absorbance	600	G	7	2	R420	Control	T72	72	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G3	0.147	0.147	Absorbance	600	G	7	3	R420	Control	T72	72	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G4	0.132	0.132	Absorbance	600	G	7	4	R420	Control	T72	72	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
B9	0.851	0.651	Absorbance	600	B	2	9	FSC	Control	T72	72	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
B10	0.64	0.44	Absorbance	600	B	2	10	FSC	Control	T72	72	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
B11	0.776	0.576	Absorbance	600	B	2	11	FSC	Control	T72	72	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
F9	0.511	0.311	Absorbance	600	F	6	9	F212	Control	T72	72	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F10	0.754	0.554	Absorbance	600	F	6	10	F212	Control	T72	72	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F11	0.651	0.451	Absorbance	600	F	6	11	F212	Control	T72	72	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F5	0.175	0.075	Absorbance	600	F	6	5	R695	Control	T72	72	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F6	0.184	0.084	Absorbance	600	F	6	6	R695	Control	T72	72	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F7	0.192	0.192	Absorbance	600	F	6	7	R695	Control	T72	72	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
B8	0.0857	0.0857	Absorbance	600	B	2	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
C8	0.0834	0.0834	Absorbance	600	C	3	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D8	0.0843	0.0843	Absorbance	600	D	4	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
E8	0.0847	0.0847	Absorbance	600	E	5	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
F8	0.0867	0.0867	Absorbance	600	F	6	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
G8	0.0854	0.0854	Absorbance	600	G	7	8	Mg	Control	T72	72	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D9	0.756	0.556	Absorbance	600	D	4	9	F16	Control	T72	72	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D10	0.745	0.545	Absorbance	600	D	4	10	F16	Control	T72	72	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D11	0.579	0.379	Absorbance	600	D	4	11	F16	Control	T72	72	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
B2	0.607	0.407	Absorbance	600	B	2	2	R09	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B3	0.698	0.498	Absorbance	600	B	2	3	R09	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B4	0.675	0.475	Absorbance	600	B	2	4	R09	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F2	0.634	0.434	Absorbance	600	F	6	2	R329	Control	T72	72	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
