Date	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID3	BIO_SAMPLE_ID4	Bio.rep	Time_point_WRONG	Time_point	Time_point2	Culture	all_bio_cat_factor	TREATMENT	TREATMENT2	ORGANISM	ORGANISM2	TREATMENT3	CORRECTION2	2-phosphoglyceric acid (2PG) and (3PG)	alpha-ketoglutaric acid	cis-aconitic acid	citric acid	fumaric acid	gluconic acid	glyceric acid	glycerol 3-phosphate	Hexose	isocitric acid	lactic acid	malic acid	maltose_sucrose	mannitol_sorbitol	pyruvic acid	succinic acid	Units
28.11.23	Pool	Pool_Pool	45258_Pool_Pool_24h_Peatool_Pool.8	45258_Pool_Pool_24h_Peatool_Pool.8_Coculture_Pool_Pool_Pool	Pool.8	62h	24h	24	Coculture	Pool_Pool_24h_Pool	Pool	Peatool	Pool	Pool	Pool	0.769707974	260978.1981	442705.5606	829183.3031	6865583.027		111908304.1	20519445.74	2331979.22	67366417.88	28778944.43	6535920.339	28959625.94	1814764.882	114322.5782	3877292.561	9861247.72	AREA / TIC
28.11.23	Pool	Pool_Pool	45258_Pool_Pool_24h_Peatool_Pool.9	45258_Pool_Pool_24h_Peatool_Pool.9_Coculture_Pool_Pool_Pool	Pool.9	62h	24h	24	Coculture	Pool_Pool_24h_Pool	Pool	Peatool	Pool	Pool	Pool	0.664580018	283985.3666	540815.2371	961134.8261	6561489.786		106903501.6	21393484.03	2567146.098	67669717.39	28634282.53	6683786.572	31289329.26	1877955.952	114004.3305	3875348.236	11110734.3	AREA / TIC
28.11.23	Pool	Pool_Pool	45258_Pool_Pool_24h_Peatool_Pool.10	45258_Pool_Pool_24h_Peatool_Pool.10_Coculture_Pool_Pool_Pool	Pool.10	62h	24h	24	Coculture	Pool_Pool_24h_Pool	Pool	Peatool	Pool	Pool	Pool	0.677780983	282293.2551	537146.9679	1009877.847	5813643.49		109493311	20680294	2708259.815	68098949.58	28479651.22	6624080.804	30234940.95	1801556.89	122192.8647	3800749.894	10779766.89	AREA / TIC
08.12.23	1	01_F.B	45268_01_F.B_24h_Peat.A.B_B.1	45268_01_F.B_24h_Peat.A.B_B.1_Coculture_F.B_Fungi.Bacteria_PAB	B.1	24h	24h	24	Coculture	Peat1_F.B_24h_PAB	Peat1	Peat.A.B	F.B	Fungi.Bacteria	PAB	2.249552727	513459.8475		4945451.986	28581109.14		1420459266	86924139.93	1388645.379	196870227	155678281.7	48401089.56	154459377.6	29186192.98	2321259.661	35936383.28	66492272.09	AREA / TIC
08.12.23	2	02_F.B	45268_02_F.B_24h_Peat.A.B_B.1	45268_02_F.B_24h_Peat.A.B_B.1_Coculture_F.B_Fungi.Bacteria_PAB	B.1	24h	24h	24	Coculture	Peat1_F.B_24h_PAB	Peat1	Peat.A.B	F.B	Fungi.Bacteria	PAB	0.957089257	1064181.833		5532101.587	28502508.82		1322443284	120863336.5	10508707.44	208147671.1	129428326.6	45712616.31	185425853	22159709.59	3526090.146	68638011.02	80204757.71	AREA / TIC
08.12.23	2	02_F.B	45268_02_F.B_62h_Peat.A.B_B.1	45268_02_F.B_62h_Peat.A.B_B.1_Coculture_F.B_Fungi.Bacteria_PAB	B.1	62h	62h	62	Coculture	Peat1_F.B_62h_PAB	Peat1	Peat.A.B	F.B	Fungi.Bacteria	PAB	0.946727258	331629.8305		5596232.661	22709279.6		1410316776	85345625.52	827038.615	203993741	133245782.2	38873486.21	183066317.8	20367999.17	1022947.203	51701817.61	74758482.37	AREA / TIC
08.12.23	3	03_B.F	45268_03_B.F_24h_Peat.A.B_B.1	45268_03_B.F_24h_Peat.A.B_B.1_Coculture_B.F_Bacteria.Fungi_PAB	B.1	24h	24h	24	Coculture	Peat1_B.F_24h_PAB	Peat1	Peat.A.B	B.F	Bacteria.Fungi	PAB	2.140098379	572639.5627		4998071.632	40501330.14		1355802071	86375485.72	2423924.082	202040245.1	150289299.4	59608972.29	154006398.1	30632851.57	4299872.421	53592362.44	87013633.02	AREA / TIC
08.12.23	3	03_B.F	45268_03_B.F_62h_Peat.A.B_B.1	45268_03_B.F_62h_Peat.A.B_B.1_Coculture_B.F_Bacteria.Fungi_PAB	B.1	62h	62h	62	Coculture	Peat1_B.F_62h_PAB	Peat1	Peat.A.B	B.F	Bacteria.Fungi	PAB	2.206544577	178630.427		4074362.736	20595253.53		1486535792	65186754.66	510681.2759	180932191.1	128273308.8	65064217.82	149662051.9	27221811.25	657030.9139	42063495.1	61201574.8	AREA / TIC
08.12.23	4	04_B.F	45268_04_B.F_24h_Peat.A.B_B.1	45268_04_B.F_24h_Peat.A.B_B.1_Coculture_B.F_Bacteria.Fungi_PAB	B.1	24h	24h	24	Coculture	Peat1_B.F_24h_PAB	Peat1	Peat.A.B	B.F	Bacteria.Fungi	PAB	0.9806213	685543.9506		3937442.518	35052061.38		1311408154	102665838.5	3533923.85	210474466.6	125099888.2	46959459.28	180704312.7	21626901.23	5331842.17	88638950.64	96038370.78	AREA / TIC
08.12.23	4	04_B.F	45268_04_B.F_62h_Peat.A.B_B.1	45268_04_B.F_62h_Peat.A.B_B.1_Coculture_B.F_Bacteria.Fungi_PAB	B.1	62h	62h	62	Coculture	Peat1_B.F_62h_PAB	Peat1	Peat.A.B	B.F	Bacteria.Fungi	PAB	1.008105108	323208.3613		3834976.104	25248457.52		1416109987	81362019.04	964977.751	188650160.1	114995489.1	78353432.96	177003360.6	18909308.01	798919.6697	54339295.14	71263564.11	AREA / TIC
