Date	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID3	BIO_SAMPLE_ID4	Bio.rep	Time_point_WRONG	Time_point	Time_point2	Culture	all_bio_cat_factor	TREATMENT	TREATMENT2	ORGANISM	ORGANISM2	TREATMENT3	CORRECTION2	Alanine_1Bz	Arginine_1Bz	Asparagine_1Bz	Aspartic Acid_1Bz	GABA_1Bz	Glutamic Acid_1Bz	Glutamine_1Bz	Glycine_1Bz	Histidine_1Bz	Isoleucine_1Bz	Leucine_1Bz	Lysine_2Bz	Ornithine_2Bz	Phenylalanine_1Bz	Proline_1Bz	Serine_1Bz	Threonine_1Bz	Tryptophane_1Bz	Tyrosine_2Bz	Valine_1Bz	Units
28.11.23	59	59_X.X	45258_59_X.X_62h_Peat.A_B.1	45258_59_X.X_62h_Peat.A_B.1_Media_X.X_Media.Media_PA	B.1	62h	62h	62	Media	Peat.A.1_X.X_62h_PA	Peat.A.1	Peat.A	X.X	Media.Media	PA	2.356968079	4624841.592	2904606.16	553298.5414	1598627.506	11670117.75	6089760.456	484797.4015	1353582.184	1670667.938	2492642.159	6376613.301	2829187.234	6108469.237	3015355.645	13067353.05	1354685.721	1904064.396	146363.4587	2144208.081	7354435.199	AREA / TIC
28.11.23	60	60_X.X	45258_60_X.X_24h_Peat.A_B.1	45258_60_X.X_24h_Peat.A_B.1_Media_X.X_Media.Media_PA	B.1	24h	24h	24	Media	Peat.A.2_X.X_24h_PA	Peat.A.2	Peat.A	X.X	Media.Media	PA	2.609870678	2381096.141	4763293.486	806503.5627	1205593.835	3898916.558	4606561.965	512101.6192	678624.8127	1021495.441	3734181.192	10764794.3	6215940.175	5496696.492	8320083.13	5627808.735	1595976.78	1996986.304	303738.0383	8864231.931	4949052.499	AREA / TIC
28.11.23	60	60_X.X	45258_60_X.X_62h_Peat.A_B.1	45258_60_X.X_62h_Peat.A_B.1_Media_X.X_Media.Media_PA	B.1	62h	62h	62	Media	Peat.A.2_X.X_62h_PA	Peat.A.2	Peat.A	X.X	Media.Media	PA	3.235662574	2799689.644	1947762.431	834667.3791	1071270.851	7804063.133	4978890.918	461449.8472	901230.5621	1239320.204	4488088.504	11012537.99	2139789.871	5456939.838	5588529.27	10295796.38	1404003.321	1862691.756	180912.5602	7235564.731	6040477.817	AREA / TIC
28.11.23	61	61_F.B	45258_61_F.B_24h_Peat.A_B.2	45258_61_F.B_24h_Peat.A_B.2_Coculture_F.B_Fungi.Bacteria_PA	B.2	24h	24h	24	Coculture	Peat.A.2_F.B_24h_PA	Peat.A.2	Peat.A	F.B	Fungi.Bacteria	PA	0.803843546	3932026.345	9178047.192	627076.0056	1495613.177	3869662.219	4106005.474	1274838.873	699800.3564	1865987.489	2753665.201	7771165.211	11699142.26	1256040.438	4712756.629	6357857.851	1611770.109	3074955.335	131408.656	3718879.146	7606979.033	AREA / TIC
28.11.23	61	61_F.B	45258_61_F.B_62h_Peat.A_B.2	45258_61_F.B_62h_Peat.A_B.2_Coculture_F.B_Fungi.Bacteria_PA	B.2	24h	62h	62	Coculture	Peat.A.2_F.B_62h_PA	Peat.A.2	Peat.A	F.B	Fungi.Bacteria	PA	0.802728806	2012946.325	15319100.19	543820.0259	452100.3823	2739769.626	3036092.616	372361.1235	605362.6037	5540188.626	1876654.966	5395305.324	16122608.17	6801505.017	2891859.596	4635276.538	1999796.181	2051136.06	349390.7257	1577585.096	3420817.815	AREA / TIC
28.11.23	63	63_B.F	45258_63_B.F_24h_Peat.A_B.2	45258_63_B.F_24h_Peat.A_B.2_Coculture_B.F_Bacteria.Fungi_PA	B.2	24h	24h	24	Coculture	Peat.A.2_B.F_24h_PA	Peat.A.2	Peat.A	B.F	Bacteria.Fungi	PA	0.93350438	3020986.361	7307635.771	457501.8705	1434800.981	3523983.465	3888892.305	1280524.254	738943.5066	2031724.8	2891812.891	7198913.196	11509521.79	6685573.344	3662703.757	5024109.26	1765159.366	2607019.369	138502.8317	4523214.985	8052152.899	AREA / TIC
28.11.23	63	63_B.F	45258_63_B.F_62h_Peat.A_B.2	45258_63_B.F_62h_Peat.A_B.2_Coculture_B.F_Bacteria.Fungi_PA	B.2	24h	62h	62	Coculture	Peat.A.2_B.F_62h_PA	Peat.A.2	Peat.A	B.F	Bacteria.Fungi	PA	0.638460952	2128059.667	16108123.72	552409.6644	451372.945	3320679.197	2654137.259	369627.9301	715949.8147	3371435.629	2017705.228	5479946.724	17757745.36	5354628.175	2718905.511	4927396.095	1629474.751	1726630.262	318401.618	2147074.142	3993973.31	AREA / TIC
28.11.23	64	64_B.F	45258_64_B.F_24h_Peat.A_B.2	45258_64_B.F_24h_Peat.A_B.2_Coculture_B.F_Bacteria.Fungi_PA	B.2	24h	24h	24	Coculture	Peat.A.3_B.F_24h_PA	Peat.A.3	Peat.A	B.F	Bacteria.Fungi	PA	1.078043633	2654105.931	6506241.292	611240.5656	1305972.186	3147341.069	4426818.965	1339855.787	555617.5851	1209832.293	3305791.983	11290010.56	9163701.447	2148019.736	7806727.615	4520807.74	1412434.482	2662045.312	333408.5829	8426824.965	4916878.907	AREA / TIC
28.11.23	64	64_B.F	45258_64_B.F_62h_Peat.A_B.2	45258_64_B.F_62h_Peat.A_B.2_Coculture_B.F_Bacteria.Fungi_PA	B.2	24h	62h	62	Coculture	Peat.A.3_B.F_62h_PA	Peat.A.3	Peat.A	B.F	Bacteria.Fungi	PA	0.667949318	1183194.562	13317293.34	649143.5631	417196.3241	2571419.649	3309357.375	379215.8976	508147.8356	1352955.945	2465293.334	7715717.142	16106322.32	4674284.287	4570170.101	3118106.337	1201957.961	1847158.111	607080.4915	8864847.742	2884814.685	AREA / TIC
28.11.23	65	65_X.B	45258_65_X.B_24h_Peat.A_B.2	45258_65_X.B_24h_Peat.A_B.2_Single_X.B_Media.Bacteria_PA	B.2	24h	24h	24	Single	Peat.A.2_X.B_24h_PA	Peat.A.2	Peat.A	X.B	Media.Bacteria	PA	0.612969438	3976692.554	10022344.7	706560.5121	1170420.506	4126385.172	4498583.174	1086723.022	906229.5207	1681178.434	1785718.72	4606676.654	14777089.1	4682566.246	2686226.911	4610564.287	2090482.691	3122292.697	87847.77292	4686926.985	6432167.341	AREA / TIC
28.11.23	65	65_X.B	45258_65_X.B_62h_Peat.A_B.2	45258_65_X.B_62h_Peat.A_B.2_Single_X.B_Media.Bacteria_PA	B.2	62h	62h	62	Single	Peat.A.2_X.B_62h_PA	Peat.A.2	Peat.A	X.B	Media.Bacteria	PA	0.500554817	1113074.895	13317943.96	527592.5655	557405.4841	2818838.122	3005447.055	332235.3405	489982.2992	2086428.828	2758473.105	7269968.998	21546095.73	5719071.925	3755918.307	3401112.012	892148.0425	1732012.101	386533.0899	2397229.953	3636165.189	AREA / TIC
